store_address,positive,negative,neutral,rating
"1044 US-11, Champlain, NY 12919, United States",0.364465880368362,0.22220134618777881,0.41333277344385916,3.2560553633217992
"10451 Santa Monica Blvd, Los Angeles, CA 90025, United States",0.4097147031559442,0.2905610330547054,0.2997242637893504,3.0
"10901 Riverside Dr, North Hollywood, CA 91602, United States",0.3703395222257925,0.2529458734595044,0.376714604314703,3.450892857142857
"1100 N US Hwy 377, Roanoke, TX 76262, United States",0.48009311212068084,0.27778216350954993,0.24212472436976923,3.5289330922242317
"111 Madison St, Oak Park, IL 60302, United States",0.43946844969280713,0.22685518534747565,0.33367636495971725,3.4141843971631207
"1121 Garnet Ave, San Diego, CA 92109, United States",0.3689618956142703,0.2742195693178685,0.3568185350678612,2.8688
"11382 US-441, Orlando, FL 32837, United States",0.3774273531765447,0.2419965501274783,0.380576096695977,3.2127329192546585
"114 Delancey St, New York, NY 10002, United States",0.05911241072389312,0.05209707935437038,0.8887905099217365,3.3333333333333335
"13749 US-183 Hwy, Austin, TX 78750, United States",0.42881238658779774,0.2865055704978113,0.284682042914391,3.3047619047619046
"1415 E State Rd, Fern Park, FL 32730, United States",0.4335034885915105,0.24337582626412282,0.32312068514436665,3.514668367346939
"151 West 34th Street (Macy's 7th Floor, New York, NY 10001, United States",0.07976013247110203,0.3960017959063431,0.5242380716225549,2.0869565217391304
"1540 2nd St, Santa Monica, CA 90405, United States",0.20140053803894162,0.2905778088038266,0.5080216531572318,3.255720053835801
"160 Broadway, New York, NY 10038, United States",0.0,0.37880418867883403,0.621195811321166,2.3333333333333335
"1650 Washington Ave, Miami Beach, FL 33139, United States",0.13945902590318154,0.41331261312069645,0.447228360976122,2.027542372881356
"1698 US-209, Brodheadsville, PA 18322, United States",0.5128159326775327,0.28838415112681753,0.19879991619564974,3.5122199592668024
"1916 M St NW, Washington, DC 20036, United States",0.45736903075339796,0.2566752673747589,0.2859557018718431,3.626153846153846
"210 5th S, Salt Lake City, UT 84106, United States",0.18375110735208108,0.3183666340462255,0.4978822586016934,2.5792207792207793
"2400 Alliance Gateway Fwy, Fort Worth, TX 76177, United States",0.4792163367872924,0.30556636223976885,0.2152173009729387,3.3362609786700124
2476 Kalï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,0.2366793902992512,0.2507773493883519,0.5125432603123969,3.4292929292929295
"25200 I-10 Lot 2, San Antonio, TX 78257, United States",0.36636900660431126,0.21834540908372121,0.4152855843119675,3.1971830985915495
"262 Canal St, New York, NY 10013, United States",0.16832292092522588,0.31294088504202566,0.5187361940327485,3.1991869918699187
"3501 Biscayne Blvd, Miami, FL 33137, United States",0.3039175137121247,0.27093962340442923,0.42514286288344605,2.6594148537134283
"429 7th Ave, New York, NY 10001, United States",0.49634495761652525,0.2502883208320475,0.2533667215514273,3.7070063694267517
"490 8th Ave, New York, NY 10001, United States",0.27526633116383253,0.2825898383332534,0.4421438305029141,3.0127226463104324
"501 W Imperial Hwy, Los Angeles, CA 90044, United States",0.21097068050681014,0.29590156784333904,0.4931277516498508,2.5261958997722096
"550 Lawrence Expy, Sunnyvale, CA 94086, United States",0.3855698531822356,0.24546629626231675,0.3689638505554476,3.395472703062583
"555 13th St NW, Washington, DC 20004, United States",0.0,0.32267430566688005,0.67732569433312,3.5
"5725 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746, United States",0.17636224392988062,0.29424358834196723,0.5293941677281522,2.8313333333333333
"5920 Balboa Ave, San Diego, CA 92111, United States",0.49688540667888864,0.2851002558870666,0.21801433743404483,3.652751423149905
"621 Broadway, Newark, NJ 07104, United States",0.44242372688442994,0.3004926587538663,0.25708361436170374,3.1299826689774695
"632 S R L Thornton Freeway Service Rd, Dallas, TX 75203, United States",0.32982012625212975,0.257145789657476,0.41303408409039427,3.220440881763527
"6875 Sand Lake Rd, Orlando, FL 32819, United States",0.06660718879006784,0.3163981215393992,0.616994689670533,3.7624309392265194
"690 Alameda St, Los Angeles, CA 90021, United States",0.2355855290741215,0.27565961244673937,0.48875485847913913,3.0916496945010183
"7010 Bradlick Shopping Center, Annandale, VA 22003, United States",0.537471521758533,0.29529213789702324,0.16723634034444373,3.7530434782608695
"702-2 Haddonfield-Berlin Rd, Voorhees Township, NJ 08043, United States",0.5335982716280995,0.28477929126216256,0.181622437109738,3.649944258639911
"72-69 Kissena Blvd, Queens, NY 11367, United States",0.40133107593149353,0.24297628631457813,0.3556926377539283,3.3546845124282982
"724 Broadway, New York, NY 10003, United States",0.4857481543872875,0.2777404586685672,0.23651138694414525,3.3643122676579926
"8500 US-290, Austin, TX 78724, United States",0.3801445541655343,0.2994236599363415,0.3204317858981242,2.7370283018867925
"9814 International Dr, Orlando, FL 32819, United States",0.14874718490022718,0.31702251448987184,0.534230300609901,2.625537139349294
"By Mandalay Bay, 3999 S Las Vegas Blvd, Las Vegas, NV 89119, United States",0.3640193382807765,0.2344140312562882,0.40156663046293534,3.073248407643312
